Optimizer,Dataset,objfname,Experiment,startTime,EndTime,ExecutionTime,trainAcc,trainTP,trainFN,trainFP,trainTN,testAcc,testTP,testFN,testFP,testTN,Iter1,Iter2,Iter3,Iter4,Iter5
PSO,heart,costNN,1,2020-03-18-11-53-07,2020-03-18-11-53-10,2.6621198654174805,0.7035175879396985,75.0,13.0,46.0,65.0,0.75,43.0,7.0,19.0,35.0,0.18273741730417406,0.18273741730417406,0.1462118324825561,0.13044087823625047,0.13044087823625047
PSO,heart,costNN,2,2020-03-18-11-53-10,2020-03-18-11-53-13,2.9077460765838623,0.6884422110552764,26.0,62.0,0.0,111.0,0.6634615384615384,15.0,35.0,0.0,54.0,0.20975144260726386,0.17782299061295156,0.17298194466146843,0.17298194466146843,0.17298194466146843
MVO,heart,costNN,1,2020-03-18-11-53-13,2020-03-18-11-53-15,2.53603458404541,0.8693467336683417,65.0,23.0,3.0,108.0,0.8653846153846154,38.0,12.0,2.0,52.0,0.23465472283491143,0.23465472283491143,0.21137098403775725,0.1712675452158711,0.10964225709467831
MVO,heart,costNN,2,2020-03-18-11-53-16,2020-03-18-11-53-18,2.4495558738708496,0.8542713567839196,61.0,27.0,2.0,109.0,0.8653846153846154,36.0,14.0,0.0,54.0,0.2357408707663094,0.2357408707663094,0.2357408707663094,0.16072510514961347,0.13854535336479812
GWO,heart,costNN,1,2020-03-18-11-53-18,2020-03-18-11-53-21,2.871181011199951,0.8592964824120602,67.0,21.0,7.0,104.0,0.8653846153846154,39.0,11.0,3.0,51.0,0.27448438051147483,0.14866327370717133,0.14866327370717133,0.14866327370717133,0.14866327370717133
GWO,heart,costNN,2,2020-03-18-11-53-21,2020-03-18-11-53-24,2.902381658554077,0.8894472361809045,88.0,0.0,22.0,89.0,0.8269230769230769,50.0,0.0,18.0,36.0,0.29010768415621946,0.18920681685182042,0.12791831947259938,0.12791831947259938,0.09371697745932331
MFO,heart,costNN,1,2020-03-18-11-53-24,2020-03-18-11-53-26,2.5792949199676514,0.7638190954773869,47.0,41.0,6.0,105.0,0.7980769230769231,29.0,21.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0
MFO,heart,costNN,2,2020-03-18-11-53-26,2020-03-18-11-53-29,2.6996254920959473,0.8894472361809045,72.0,16.0,6.0,105.0,0.9230769230769231,45.0,5.0,3.0,51.0,0.0,0.0,0.0,0.0,0.0
CS,heart,costNN,1,2020-03-18-11-53-29,2020-03-18-11-53-34,4.629777193069458,0.8944723618090452,76.0,12.0,9.0,102.0,0.9326923076923077,46.0,4.0,3.0,51.0,0.1877181553971865,0.16426447516942375,0.1564420889160911,0.13599545733788682,0.13599545733788682
CS,heart,costNN,2,2020-03-18-11-53-34,2020-03-18-11-53-38,4.467107057571411,0.8743718592964824,64.0,24.0,1.0,110.0,0.8557692307692307,35.0,15.0,0.0,54.0,0.174158499967217,0.1493270185646053,0.11870936112796995,0.11562254212756255,0.11562254212756255
BAT,heart,costNN,1,2020-03-18-11-53-38,2020-03-18-11-53-41,2.4013266563415527,0.9045226130653267,71.0,17.0,2.0,109.0,0.9230769230769231,43.0,7.0,1.0,53.0,0.20420341782130844,0.13663193985930336,0.1246037230396348,0.11754966974391783,0.10682619226241621
BAT,heart,costNN,2,2020-03-18-11-53-41,2020-03-18-11-53-43,2.468843698501587,0.4371859296482412,83.0,5.0,107.0,4.0,0.46153846153846156,48.0,2.0,54.0,0.0,0.233310216307727,0.233310216307727,0.233310216307727,0.233310216307727,0.233310216307727
